"id","order","start.url","titulo","barra","club","pais","cancion"
"1","1648751415-4579","https://barrabrava.net/deportivo-cali/frente-radical-verdiblanco/letra/cantare-con-todo-el-alma/","""Cantare con todo el alma""","Frente Radical Verdiblanco"," Deportivo Cali","Colombia","Todo en mi vida a cambiado / Desde que te conoci Paso las noches soñando / Y esperando el momento de estar junto a ti Siempre me muero por verte / Y con el Frente alentar No somos como las locas / Hinchas del rojo coca que a la B fue a parar Cantare con todo el alma para vos / Eres mi delirio eterno eres mi amor ( Bis ) Daria la vida entera / La la la la / Y aunque un día me muera Hoy te tengo a mi lado / Y soy muy FELIZ."
"2","1648749837-3952","https://barrabrava.net/san-lorenzo/la-gloriosa-butteler/letra/con-esta-camiseta-hay-que-ir-para-adelante/","""Con esta camiseta hay que ir para adelante""","La Gloriosa Butteler"," San Lorenzo","Argentina","Y dale dale matador, dale matador que la gloriosa esta de fiesta, ya llego vino alentarte sin parar esta re loca por la vuelta, quiere festejar Por eso les pedimos que pongan mas huevos así este campeonato se queda en boedo con esta camiseta hay que ir para adelante nosotros en la tribuna vamo a acompañarte"
"3","1648751907-4818","https://barrabrava.net/melgar/leon-del-svr/letra/como-no-voy-a-alentar/","""Â¿como no voy a alentar?""","León del Svr"," Melgar","Peru","¿como no voy a alentar? Ser rojinegro es vna alegría, ¿como no voy a alentar? Si el sentimiento nvnca termina. De la cabeza a los pies, Soy rojinegro hasta los hvesos, Esta es tv gente,"
"4","1648751373-4559","https://barrabrava.net/talleres/la-fiel/letra/si-sos-de-belgrano-vos-sos-vigilante/","""Si sos de belgrano vos sos vigilante""","La Fiel"," Talleres","Argentina","si sos de belgrano vos sos vigilante sos como la gloria no tenes aguante quien manda en la docta todos lo sabemos porque en las finales siempre los cojemos matador matador dale dale matador matador matador dale dale matador"
"5","1648754051-5857","https://barrabrava.net/independiente-medellin/rexixtenxia-norte/letra/hay-una-cosa-que-te-voy-asegurar/","""Hay una cosa que te voy asegurar""","Rexixtenxia Norte"," Independiente Medellín","Colombia","Hay una cosa que te voy asegurar que al poderoso no lo vamo´ abandonar tu hermosa Hinchada que lleva mas de un Centenario.. Y Hasta la muerte siempre te estará Alentando Aunque ya fueron muchas veces que sufrí No importa nada el sentimiento Medellin y Aunque pierdas nunca para ni un segundo Siempre te Alienta LA HINCHADA MAS LINDA DEL MUNDO Vamos Campeón.. esta es la Hinchada que nunca Abandono Sos mi Pasión.. se me para el corazón cada vez que estoy con vos Y no me importa que me digan mis amigos que el rojo nunca a ganado nada lo siento y lo digo con orgullo Rojo Es mi Corazón.. Medelin mi gran Amor"
"6","1648754316-5987","https://barrabrava.net/oriente-petrolero/los-de-siempre/letra/esta-es-la-banda-albiverde-que-nunca-abandona/","""Esta es la Banda Albiverde que Nunca Abandona""","Los de Siempre"," Oriente Petrolero","Bolívia","Esta es la banda Albiverde.. Que lleva la vida... Que nunca abandona..."
"7","1648751578-4660","https://barrabrava.net/deportes-temuco/los-devotos/letra/como-canta-la-hinchada/","""Como canta la hinchada""","Los Devotos"," Deportes Temuco","Chile","A ver a ver como canta la hinchada somos devotos y los demas no importan nada..."
"8","1648748648-3364","https://barrabrava.net/huracan/la-banda-de-la-quema/letra/vos-sos-la-pasion-que-llevo-en-el-corazon/","""Vos sos la pasión que llevo en el corazón.""","La Banda de la Quema"," Huracán","Argentina","Yo soy de la Quema, vago y atorrante Yo lo sigo al Globo siempre a todas partes A los jugadores, les pido más huevos Por la camiseta que yo tanto quiero Pasaron los años, y los dirigentes Lo que no pasó es el amor de la gente Que estuvo en las malas Se bancó el descenso Que en el Puente Alsina corrió a San Lorenzo Vamos Globo yo te quiero Ver salir campeón de nuevo Vos sos la pasión que llevo en el corazón."
"9","1648753132-5415","https://barrabrava.net/gremio/geral-do-gremio/letra/bailando/","""Bailando""","Geral do Grêmio"," Grêmio","Brasil","Vamos Grêmio eu te levo no meu coração Força e raça te pedimos para sair campeão O que sinto não se pode explicar com palavras Tuas cores tatuadas são o meu brasão Peleando Cantando Te juro que até do céu estarei ao teu lado Alentando Descontrolado Nós viemos pela camiseta e não pelo resultado Sempre estou contigo Grêmio querido pela cabeça tomando vinho A Banda tá louca Queremos a Copa."
"10","1648748674-3377","https://barrabrava.net/gremio/geral-do-gremio/letra/de-pequeno-eu-te-sigo/","""De Pequeno Eu Te Sigo""","Geral do Grêmio"," Grêmio","Brasil","De pequeno eu te sigo Sempre vou a todo lado Eu venho te ver, descontrolado! E mais te alento, se está perdendo Um sentimento, não trate de entendê-lo..."
