"usuario","texto","fuente","favs","rt","lugar","seguidores","texto_original"
"TruenoOficiaI","12.05.2022","Twitter for iPhone",16300,1209,"Buenos Aires, Argentina",1348060,"12.05.2022"
"TruenoOficiaI","MAYO","Twitter for iPhone",13410,536,"Buenos Aires, Argentina",1348060,"MAYO"
"TruenoOficiaI","BIEN O MAL?","Twitter for iPhone",17798,687,"Buenos Aires, Argentina",1348060,"BIEN O MAL?"
"TruenoOficiaI","MENOS DE 30 DÍAS","Twitter for iPhone",8952,404,"Buenos Aires, Argentina",1348060,"MENOS DE 30 DÍAS"
"TruenoOficiaI","USTEDES QUIEREN EL SEGUNDO DISCO O QUE","Twitter for iPhone",23116,770,"Buenos Aires, Argentina",1348060,"USTEDES QUIEREN EL SEGUNDO DISCO O QUE"
"TruenoOficiaI","TIC TOC TIC TOCC <U+0001F440><U+0001F570><U+0001F51C>","Twitter for iPhone",10906,354,"Buenos Aires, Argentina",1348060,"TIC TOC TIC TOCC <U+0001F440><U+0001F570><U+0001F51C>"
"TruenoOficiaI","Aveces me gustaría pausar todo para darles las gracias. Estamos donde ustedes nos ponen y hoy en día estoy cumpliendo mi sueño de wacho, el legado de mi familia y el honor de representar al país más musical q conozco. Yo hago música para seguí viviendo, Gracias.

El 2do está list","Twitter for iPhone",12554,480,"Buenos Aires, Argentina",1348060,"Aveces me gustaría pausar todo para darles las gracias. Estamos donde ustedes nos ponen y hoy en día estoy cumpliendo mi sueño de wacho, el legado de mi familia y el honor de representar al país más musical q conozco. Yo hago música para seguí viviendo, Gracias.

El 2do está list"
"TruenoOficiaI","Te guste o no te guste","Twitter for iPhone",15180,1005,"Buenos Aires, Argentina",1348060,"Te guste o no te guste"
"TruenoOficiaI","Bueno creo q la gente ya está lista para el 2do…","Twitter for iPhone",17201,629,"Buenos Aires, Argentina",1348060,"Bueno creo q la gente ya está lista para el 2do…"
"TruenoOficiaI","TENEMOS EL PROX HIMNO DE LA SHECKA <U+0001F440><U+0001F92B>","Twitter for iPhone",15463,432,"Buenos Aires, Argentina",1348060,"TENEMOS EL PROX HIMNO DE LA SHECKA <U+0001F440><U+0001F92B>"
"TruenoOficiaI","ESTE AÑO ES NUESTRO","Twitter for iPhone",18693,1343,"Buenos Aires, Argentina",1348060,"ESTE AÑO ES NUESTRO"
"TruenoOficiaI","2 años de Atrevido, el comienzo de esta era hermosa, Gracias música por toda esta luz. Vamos a hacer historia <U+0001F91E><U+0001F3FC><U+270A><U+0001F3FC>","Twitter for iPhone",13550,565,"Buenos Aires, Argentina",1348060,"2 años de Atrevido, el comienzo de esta era hermosa, Gracias música por toda esta luz. Vamos a hacer historia <U+0001F91E><U+0001F3FC><U+270A><U+0001F3FC>"
"TruenoOficiaI","WELCOME TO THE JUNGLE","Twitter for iPhone",15925,741,"Buenos Aires, Argentina",1348060,"WELCOME TO THE JUNGLE"
"TruenoOficiaI","mami acá llegó el tigeraje<U+0001F60E> ","Twitter for iPhone",0,319,"Buenos Aires, Argentina",1348060,"mami acá llegó el tigeraje<U+0001F60E> https://t.co/aNHT40Pwub"
"TruenoOficiaI","WELCOME TO THE JUNGLEE avísales vos","Twitter for iPhone",23995,575,"Buenos Aires, Argentina",1348060,"WELCOME TO THE JUNGLEE @bizarrap avísales vos"
"TruenoOficiaI","<U+0001F1E6><U+0001F1F7><U+0001F1E6><U+0001F1F7><U+0001F1E6><U+0001F1F7><U+0001F1F5><U+0001F1F7><U+0001F1F5><U+0001F1F7><U+0001F1F5><U+0001F1F7> ","Twitter for iPhone",55379,1361,"Buenos Aires, Argentina",1348060,"<U+0001F1E6><U+0001F1F7><U+0001F1E6><U+0001F1F7><U+0001F1E6><U+0001F1F7><U+0001F1F5><U+0001F1F7><U+0001F1F5><U+0001F1F7><U+0001F1F5><U+0001F1F7> https://t.co/93BWpj1ooQ"
"TruenoOficiaI","17/02 Ultimo corte del disco primer perreo argentino <U+0001F618><U+0001F618>","Twitter for iPhone",12759,518,"Buenos Aires, Argentina",1348060,"17/02 Ultimo corte del disco primer perreo argentino <U+0001F618><U+0001F618>"
"TruenoOficiaI","Los fanáticos de ñeri están por ahí?? <U+0001F609><U+0001F609>","Twitter for iPhone",40375,963,"Buenos Aires, Argentina",1348060,"Los fanáticos de ñeri están por ahí?? <U+0001F609><U+0001F609>"
"TruenoOficiaI","ATENCIÓN A TODAS LAS EMISORAS","Twitter for iPhone",18513,433,"Buenos Aires, Argentina",1348060,"ATENCIÓN A TODAS LAS EMISORAS"
"TruenoOficiaI","<U+0001F4BF><U+0001F4BF><U+0001F4BF><U+0001F4BF><U+0001F4BF><U+0001F4BF><U+0001F4BF><U+0001F4BF><U+0001F4BF><U+0001F4BF>","Twitter for iPhone",20846,763,"Buenos Aires, Argentina",1348060,"<U+0001F4BF><U+0001F4BF><U+0001F4BF><U+0001F4BF><U+0001F4BF><U+0001F4BF><U+0001F4BF><U+0001F4BF><U+0001F4BF><U+0001F4BF>"
"TruenoOficiaI","FELIZ NAVIRAP <U+0001F384>4<U+FE0F><U+20E3> ","Twitter for iPhone",57518,1437,"Buenos Aires, Argentina",1348060,"FELIZ NAVIRAP <U+0001F384>4<U+FE0F><U+20E3> https://t.co/sLkoQlUyKp"
"TruenoOficiaI","HIP HOP. ","Twitter for iPhone",11660,309,"Buenos Aires, Argentina",1348060,"HIP HOP. https://t.co/ETJDoohXwg"
"TruenoOficiaI","Trueno - FEEL ME??

TOP 5 TEMAS DEL AÑO","Twitter for iPhone",0,2041,"Buenos Aires, Argentina",1348060,"Trueno - FEEL ME??

TOP 5 TEMAS DEL AÑO"
"TruenoOficiaI","MAMI, EL VOCERO SOY YO","Twitter for iPhone",14516,728,"Buenos Aires, Argentina",1348060,"MAMI, EL VOCERO SOY YO"
"TruenoOficiaI","17","Twitter for iPhone",13069,416,"Buenos Aires, Argentina",1348060,"17"
