"id","senador","text","rol","genero","palabras"
"1","Fernández de Kirchner","muy buenas tardes a todos y a todas con la presencia de 67 señores senadores y señoras senadoras se da comienzo a la sesión especial del día de la fecha","presidente","Mujeres",30
"2","Fernández de Kirchner","invito a la senadora nancy gonzález a izar el pabellón nacional y a mantenernos de pie mientras entonamos las estrofas del himno nacional argentino muchas gracias","presidente","Mujeres",26
"3","Fernández de Kirchner","se incorporan al diario de sesiones todas las notas presentadas por senadores y senadoras solicitando esta sesión especial y el respectivo decreto de esta presidencia el 105 también se incorpora al mismo","presidente","Mujeres",32
"4","Fernández de Kirchner","de conformidad con lo dispuesto por el artículo 187 se da ingreso a todos los asuntos vía intranet si hay asentimiento de los señores senadores y senadoras","presidente","Mujeres",27
"5","Fernández de Kirchner","hay asentimiento resultan aprobados los asuntos entrados","presidente","Mujeres",6
"6","Fernández de Kirchner","corresponde ahora votar la extensión de la licencia del senador josé alperovich a mano alzada","presidente","Mujeres",15
"7","Fernández de Kirchner","por unanimidad resulta afirmativa","presidente","Mujeres",4
"8","Fernández de Kirchner","por secretaría se va a dar lectura al mensaje solicitando prestar acuerdo a los efectos de complementar lo dispuesto por el artículo 22 del reglamento de este senado","presidente","Mujeres",28
"9","Fuentes","expediente pe 26920 mensaje n° 15620 por el que se solicita acuerdo para nombrar embajador extraordinario y plenipotenciario al señor luis alfredo ilarregui","secretario","Hombres",23
"10","Fernández de Kirchner","pasa a la comisión de acuerdos","presidente","Mujeres",6
"11","Fernández de Kirchner","corresponde ahora la consideración del orden del día de las comisiones de banca de la mujer de justicia y asuntos penales y de salud que se enunciará por secretaría","presidente","Mujeres",29
"12","Fuentes","orden del día n°71620 dictamen en el proyecto de ley venido en revisión sobre regulación del acceso a la interrupción voluntaria del embarazo y a la atención postaborto","secretario","Hombres",29
"13","Fernández de Kirchner","corresponde ahora también dar lectura por secretaría a la lista de oradores y oradoras","presidente","Mujeres",14
"14","Fuentes","durango fiad parrilli mera gonzález nancy blas garcía larraburu verasay zimmermann duré catalfamo schiavoni sapag closs sacnun basualdo rodríguez machado ianni rodas giménez blanco mirkin rodríguez matías poggi almirón tapia mirabella olalla lovera crexell ernesto martínez gonzález maría teresa pais snopek recalde levay tagliaferri marino kueider pilatti vergara de angeli gladys gonzález vega taiana castillo giacoppo doñate cobos braillard poccard luenzo lousteau bullrich caserio weretilneck romero elías de perez naidenoff fernández sagasti mayans","secretario","Hombres",73
"15","Fernández de Kirchner","se somete a votación la lista de oradores","presidente","Mujeres",8
"16","Fernández de Kirchner","resulta aprobada tiene entonces la palabra la señora senadora norma durango como miembro informante","presidente","Mujeres",14
"17","Cobos","no se escucha norma","senador","Hombres",4
"18","Fernández de Kirchner","senadora no se escucha por qué no abre su micrófono","presidente","Mujeres",10
"19","Durango","a ver ahora","senador","Mujeres",3
"20","Fernández de Kirchner","ahora sí perfectamente senadora la escuchamos","presidente","Mujeres",6
