id,character,dialogue,word_count
1,THREEPIO,Did you hear that?  They've shut down the main reactor.  We'll be destroyed for sure.  This is madness!,20
2,THREEPIO,We're doomed!,3
3,THREEPIO,There'll be no escape for the Princess this time.,10
4,THREEPIO,What's that?,3
5,THREEPIO,I should have known better than to trust the logic of a half-sized thermocapsulary dehousing assister...,17
6,LUKE,Hurry up!  Come with me!  What are you waiting for?!  Get in gear!,13
7,THREEPIO,"Artoo! Artoo-Detoo, where are you?",6
8,THREEPIO,At last!  Where have you been?,6
9,THREEPIO,They're heading in this direction. What are we going to do?  We'll be sent to the spice mines of Kessel or smashed into who knows what!,28
10,THREEPIO,"Wait a minute, where are you going?",7
11,IMPERIAL,OFFICER The Death Star plans are not in the main computer.,11
12,VADER,Where are those transmissions you intercepted?,6
13,REBEL,OFFICER We intercepted no transmissions. Aaah...  This is a consular ship. Were on a diplomatic mission.,16
14,VADER,If this is a consular ship... where is the Ambassador?,10
15,VADER,"Commander, tear this ship apart until you've found those plans and bring me the Ambassador.  I want her alive!",20
16,TROOPER,There she is! Set for stun!,6
17,TROOPER,She'll be all right. Inform Lord Vader we have a prisoner.,12
18,THREEPIO,"Hey, you're not permitted in there.  It's restricted. You'll be deactivated for sure..",16
19,THREEPIO,"Don't call me a mindless philosopher, you overweight glob of grease!  Now come out before somebody sees you.",19
20,THREEPIO,Secret mission?  What plans?  What are you talking about?  I'm not getting in there!,15
21,THREEPIO,I'm going to regret this.,6
22,CHIEF,PILOT There goes another one.,5
23,CAPTAIN,Hold your fire.  There are no life forms.  It must have been short-circuited.,14
24,THREEPIO,"That's funny, the damage doesn't look as bad from out here.",13
25,THREEPIO,Are you sure this things safe?,6
26,WOMAN,I've told you kids to slow down!,8
27,FIXER,Did I hear a young noise blast through here?,9
28,CAMIE,It was just Wormie on another rampage.,7
29,LUKE,Shape it up you guys!...  Biggs?,6
30,LUKE,I didn't know you were back!  When did you get in?,12
31,BIGGS,"Just now.  I wanted to surprise you, hot shot.  I thought you'd be here... certainly didn't expect you to be out working.",24
32,LUKE,"The Academy didn't change you much... but you're back so soon?  Hey, what happened, didn't you get your commission?",22
33,BIGGS,Of course I got it.  Signed aboard The Rand Ecliptic last week.  First mate Biggs Darklighter at your service...... I just came back to say goodbye to all you unfortunate landlocked simpletons.,32
34,LUKE,I almost forgot.  There's a battle going on!  Right here in our system.  Come and look!,17
35,DEAK,Not again!  Forget it.,4
36,LUKE,There they are!,3
37,BIGGS,"That's no battle, hot shot... they're just sitting there!  Probably a freighter-tanker refueling.",16
38,LUKE,But there was a lot of firing earlier...,8
39,LUKE,"Hey, easy with those...",4
40,CAMIE,"Don't worry about it, Wormie.",6
41,FIXER,"I keep telling you, the Rebellion is a long way from here.  I doubt if the Empire would even fight to keep this system.  Believe me Luke, this planet is a big hunk of nothing...",35
42,LEIA,"Lord Vader, I should have known.  Only you could be so bold.  The Imperial Senate will not sit stillfor this, when they hear you've attacked a diplomatic...",28
43,VADER,"Don't play games with me, Your Highness.  You weren't on any mercy mission this time.  You passed directly through a restricted system.  Several transmissions were beamed to this ship by Rebel spies.  I want to know what happened to the plans they sent you.",46
44,LEIA,I don't know what you're talking about.  I'm a member of the Imperial Senate on a diplomatic mission to Alderaan...,23
45,VADER,You're a part of the Rebel Alliance... and a traitor.  Take her away!,14
46,COMMANDER,"Holding her is dangerous.  If word of this gets out, it could generate sympathy for the Rebellion in the senate.",20
47,VADER,I have traced the Rebel spies to her.  Now she is my only link to find their secret base!,19
48,COMMANDER,you anything.,2
49,VADER,Leave that to me.  Send a distress signal and then inform the senate that all aboard were killed!,18
50,SECOND,"OFFICER Lord Vader, the battle station plans are not aboard this ship!  And no transmissions were made.  An escape pod was jettisoned during the fighting, but no life forms were aboard.",31
51,VADER,"She must have hidden the plans in the escape pod.  Send a detachment down to retrieve them.  See to it personally, Commander.  There'll be no one to stop us this time.",32
52,COMMANDER,"Yes, sir.",2
53,THREEPIO,How did I get into this mess?  I really don't know how.  We seem to be made to suffer.  It's our lot in life.,26
54,THREEPIO,I've got to rest before I fall apart.  My joints are almost frozen.,14
55,THREEPIO,What a desolate place this is.,6
56,THREEPIO,Where are you going?,4
57,THREEPIO,"Well, I'm not going that way.  It's much too rocky.  This way is much easier.",17
58,THREEPIO,What makes you think there are settlements over there?,9
59,THREEPIO,Don't get technical with me.,6
60,THREEPIO,"What mission?  What are you talking about?  I've had just about enough of you!  Go that way!  You'll be malfunctioning within a day, you nearsighted scrap pile!",29
61,THREEPIO,"And don't let me catch you following me begging for help, because you won't get it.",18
62,THREEPIO,No more adventures.  I'm not going that way.,9
